condition,sketchType,interventionPerf,tier_performance
depictive,BCK,bad,20
explanatory,BCK,bad,4
depictive,BCK,good,6
explanatory,BCK,good,2
explanatory,CAUS,bad,10
depictive,CAUS,good,1
explanatory,CAUS,good,10
depictive,MECH,bad,16
explanatory,MECH,bad,18
depictive,MECH,good,31
explanatory,MECH,good,11
depictive,MECH-BCK,bad,33
explanatory,MECH-BCK,bad,12
depictive,MECH-BCK,good,36
explanatory,MECH-BCK,good,17
depictive,SYM,bad,2
explanatory,SYM,bad,32
depictive,SYM,good,3
explanatory,SYM,good,31
